country,year,hourly_compensation
Japan,2000,21.93000031
"Korea, Rep.",2000,8.229999542
Luxembourg,2000,17.40999985
Mexico,2000,2.069999933
Netherlands,2000,19.35000038
New Zealand,2000,8.380000114
Norway,2000,22.55999947
Philippines,2000,0.769999981
Poland,2000,2.809999943
Portugal,2000,4.489999771
Singapore,2000,7.300000191
Spain,2000,10.65999985
Sri Lanka,2000,0.479999989
Sweden,2000,20.68000031
Switzerland,2000,20.95000076
Taiwan,2000,6.190000057
United Kingdom,2000,16.84000015
United States,2000,19.64999962
Australia,2001,13.32999992
Austria,2001,19.06999969
Belgium,2001,19.84000015
Brazil,2001,2.970000029
Canada,2001,16.27000046
Czech Rep.,2001,3.130000114
Denmark,2001,21.67000008
Finland,2001,18.06999969
France,2001,15.52999973
Germany,2001,22.51000023
Greece,2001,7.960000038
"Hong Kong, China",2001,5.739999771
Hungary,2001,3.130000114
Ireland,2001,14.15999985
Israel,2001,12.18000031
Italy,2001,14.56000042
Japan,2001,19.35000038
"Korea, Rep.",2001,7.699999809
Luxembourg,2001,17.06999969
Mexico,2001,2.339999914
Netherlands,2001,19.87999916
New Zealand,2001,7.96999979
Norway,2001,23.51000023
Philippines,2001,0.75
Poland,2001,3.190000057
Portugal,2001,4.579999924
Singapore,2001,7.03000021
Spain,2001,10.88000011
Sri Lanka,2001,0.449999988
Sweden,2001,19.06999969
Switzerland,2001,21.53000069
Taiwan,2001,6.050000191
United Kingdom,2001,16.90999985
United States,2001,20.52000046
Australia,2002,15.39999962
Austria,2002,20.65999985
Belgium,2002,21.77000046
Brazil,2002,2.569999933
Canada,2002,16.79999924
Czech Rep.,2002,3.829999924
Denmark,2002,23.87999916
Finland,2002,19.75
France,2002,16.89999962
Germany,2002,24.32999992
Greece,2002,6.429999828
"Hong Kong, China",2002,5.659999847
Hungary,2002,3.930000067
Ireland,2002,15.85000038
Israel,2002,11
Italy,2002,16.09000015
Japan,2002,18.62999916
"Korea, Rep.",2002,8.770000458
Luxembourg,2002,18.52000046
Mexico,2002,2.49000001
Netherlands,2002,22.14999962
New Zealand,2002,9.100000381
Norway,2002,27.93000031
Philippines,2002,0.790000021
Poland,2002,3.289999962
Portugal,2002,5.039999962
Singapore,2002,6.739999771
Spain,2002,12.05000019
Sri Lanka,2002,0.49000001
Sweden,2002,21.17000008
Switzerland,2002,23.77000046
Taiwan,2002,5.639999866
United Kingdom,2002,18.43000031
United States,2002,21.60000038
Australia,2003,19.79000092
Austria,2003,25.42000008
Belgium,2003,26.54999924
Brazil,2003,2.74000001
Canada,2003,19.60000038
Czech Rep.,2003,4.71999979
Denmark,2003,29.62999916
Finland,2003,24.35000038
France,2003,20.73999977
Germany,2003,29.93000031
Greece,2003,11.85999966
"Hong Kong, China",2003,5.539999962
Hungary,2003,4.789999962
Ireland,2003,19.79000092
Israel,2003,11.61999989
Italy,2003,20.29000092
Japan,2003,20.31999969
"Korea, Rep.",2003,9.68999958
Luxembourg,2003,22.82999992
Mexico,2003,2.440000057
Netherlands,2003,27.52000046
New Zealand,2003,11.68999958
Norway,2003,32.72999954
Philippines,2003,0.790000021
Poland,2003,3.519999981
Portugal,2003,6.179999828
Singapore,2003,7.230000019
Spain,2003,15.14000034
Sri Lanka,2003,0.50999999
Sweden,2003,26.42000008
Switzerland,2003,27.79000092
Taiwan,2003,5.690000057
United Kingdom,2003,21.29000092
United States,2003,22.47999954
Australia,2004,23.37999916
Austria,2004,28.38999939
Belgium,2004,30.01000023
Brazil,2004,3.140000105
Canada,2004,21.85000038
Czech Rep.,2004,5.449999809
Denmark,2004,33.68000031
Finland,2004,27.79999924
France,2004,23.29000092
Germany,2004,33.09000015
Greece,2004,14.64999962
"Hong Kong, China",2004,5.510000229
Hungary,2004,5.679999828
Ireland,2004,22.67000008
Israel,2004,12.01000023
Italy,2004,23.56999969
Japan,2004,21.95000076
"Korea, Rep.",2004,10.81000042
Luxembourg,2004,26.18000031
Mexico,2004,2.440000057
Netherlands,2004,30.81999969
New Zealand,2004,13.64999962
Norway,2004,36.40999985
Philippines,2004,0.839999974
Poland,2004,3.839999914
Portugal,2004,6.960000038
Singapore,2004,7.46999979
Spain,2004,17.25
Sri Lanka,2004,0.519999981
Sweden,2004,30.07999992
Switzerland,2004,30.20999908
Taiwan,2004,5.980000019
United Kingdom,2004,24.81999969
United States,2004,23.12999916
Australia,2005,25.11000061
Austria,2005,29.36000061
Belgium,2005,30.79000092
Brazil,2005,4.159999847
Canada,2005,23.97999954
Czech Rep.,2005,6.039999962
Denmark,2005,34.45000076
Finland,2005,28.37999916
France,2005,24
Germany,2005,33.34000015
Greece,2005,15.31000042
"Hong Kong, China",2005,5.650000095
Hungary,2005,6.130000114
Ireland,2005,24.14999962
Israel,2005,12.34000015
Italy,2005,24.22999954
Japan,2005,21.54000092
"Korea, Rep.",2005,12.73999977
Luxembourg,2005,27.26000023
Mexico,2005,2.640000105
Netherlands,2005,31.79999924
New Zealand,2005,14.97000027
Norway,2005,39.16999817
Philippines,2005,0.920000017
Poland,2005,4.510000229
Portugal,2005,7.269999981
Singapore,2005,7.300000191
Spain,2005,17.92000008
Sri Lanka,2005,0.540000021
Sweden,2005,30.45999908
Switzerland,2005,30.5
Taiwan,2005,6.420000076
United Kingdom,2005,25.71999931
United States,2005,23.80999947
Australia,2006,26.13999939
